1462795663726223	1036	9a	b3	8f	4a	01	88
1462795663726301	1037	3d	40	ab	76	0b	4e
1462795663734297	1039	56	a7	f8	67	f9	cd
1462795663753131	1041	33	69	d3	3d	68	74
1462795663763352	1043	c8	c4	0d	25	c5	59
1462795663772338	1045	9d	01	2a	00	02	00
1462795663773259	1047	43	ea	08	7d	41	0f
1462795663773358	1049	d5	c0	98	ce	95	7c
1462795663800369	1051	71	23	6b	f5	40	6f
1462795663801238	1053	9a	b3	8f	4a	01	88
1462795663802238	1055	3d	40	ab	76	0b	4e
1462795663803235	1057	c8	c4	0d	25	c5	59
1462795663828343	1059	56	a7	f8	67	f9	cd
1462795663829340	1061	33	69	d3	3d	68	74
1462795663830345	1063	64	8c	4f	1b	11	bb
1462795663831375	1065	f6	f2	19	6b	a9	bf
1462795663856345	1067	10	f2	a9	6d	00	c9
1462795663857346	1069	fd	47	db	d9	4c	78
1462795663858344	1070	01	46	1d	d6	0f	66
1462795663884350	1072	6d	63	e6	fd	6a	88
1462795663885243	1073	4c	00	76	15	6f	09
1462795663886297	1075	be	c7	05	b2	84	fe
1462795663887198	1076	7b	ff	a5	fd	e3	dc
1462795663913351	1079	73	12	95	e9	47	e5
1462795663914222	1080	5b	2c	b3	d3	c2	da
1462795663914320	1082	29	19	4b	0d	77	ba
1462795663915330	1083	d8	49	02	df	2b	c0
1462795663916224	1085	66	82	97	73	ed	3f
1462795663942356	1087	5e	4c	8c	d1	c2	0c
1462795663943317	1089	53	f7	92	78	6f	3a
1462795663944226	1090	7c	43	e5	4b	83	a3
1462795663944332	1092	51	e2	53	8c	d6	f5
1462795663970358	1093	3d	c5	c9	57	7b	24
1462795663971261	1095	56	eb	30	3b	51	f8
1462795663972360	1096	cf	59	ae	c5	ac	d1
1462795663973255	1098	51	3c	b7	7b	b6	8d
1462795663998381	1099	22	b0	ae	4f	39	fb
1462795663999237	1101	d7	67	dc	55	6a	69
1462795664000361	1102	96	7a	b3	f1	a0	31
1462795664001259	1104	21	f5	04	3e	a0	87
1462795664001340	1105	b7	83	86	4d	95	3c
1462795664026344	1107	ce	43	34	0d	d3	7d
1462795664029369	1108	2a	5b	5c	30	e2	4a
1462795664030270	1110	47	2d	01	53	3c	93
1462795664030375	1112	58	7d	87	8a	a6	0b
1462795664030527	1114	3c	38	53	c1	26	a8
1462795664057377	1116	d8	70	dd	27	c9	e3
1462795664058272	1118	35	7a	ae	d0	df	2e
1462795664059270	1120	4f	bb	f0	80	6f	8b
1462795664059409	1122	a7	1d	4b	45	79	44
1462795664085378	1124	8f	f4	a5	8f	7c	3d
1462795664086375	1126	58	e9	c0	e7	3b	41
1462795664087351	1128	09	b6	3b	16	c0	66
1462795664088342	1130	91	2f	37	8a	b9	a8
1462795664113353	1132	86	18	69	35	bf	42
1462795664114237	1134	a4	7a	4c	7a	2d	48
1462795664115280	1136	fd	41	ea	47	d7	c4
1462795664116277	1138	73	69	8c	6b	27	b6
1462795664117259	1140	0e	c5	87	c3	08	e5
1462795664117420	1142	21	93	30	74	49	59
1462795664141356	1144	2b	4c	7f	ac	19	42
1462795664143392	1146	21	27	85	a3	30	9b
1462795664144292	1148	4f	bd	14	1e	8c	d3
1462795664145258	1149	be	b2	56	38	12	a3
1462795664146258	1151	a1	ff	9b	c4	22	4a
1462795664147292	1152	b9	af	99	c6	09	16
1462795664169393	1154	2f	13	f0	17	67	24
1462795664171397	1155	2a	80	63	ef	53	c6
1462795664173421	1157	51	f2	8a	1d	38	f6
1462795664174284	1158	9d	77	94	e6	b7	f8
1462795664175420	1160	36	f6	1d	f2	8d	1d
1462795664176294	1161	09	26	38	1a	5f	c8
1462795664199391	1163	fe	35	b0	2d	6e	6a
1462795664199957	1164	10	80	cf	f1	19	81
1462795664202359	1166	9d	01	2a	00	02	00
1462795664203309	1167	58	dd	eb	1b	bd	63
1462795664204404	1169	19	5c	2c	4e	c9	28
1462795664205283	1170	e8	b9	4b	a2	80	ee
1462795664228419	1172	85	72	e5	84	6a	db
1462795664229288	1173	0d	87	09	e8	cb	a1
1462795664231352	1175	a2	91	16	46	13	b8
1462795664232249	1176	9d	d5	e8	14	80	61
1462795664233231	1178	a8	52	d6	df	bb	33
1462795664244409	1180	9d	01	2a	00	02	00
1462795664257412	1181	58	dd	eb	1b	bd	63
1462795664258310	1183	19	5c	2c	4e	c9	28
1462795664260355	1184	e8	b9	4b	a2	80	ee
1462795664261290	1186	85	72	e5	84	6a	db
1462795664262288	1187	0d	87	09	e8	cb	a1
1462795664285415	1189	a2	91	16	46	13	b8
1462795664286241	1190	9d	d5	e8	14	80	61
1462795664288240	1192	a8	52	d6	df	bb	33
1462795664298408	1194	9d	01	2a	00	02	00
1462795664299264	1195	58	dd	eb	1b	bd	63
1462795664299465	1197	19	5c	2c	4e	c9	28
1462795664299603	1198	e8	b9	4b	a2	80	ee
1462795664314407	1200	85	72	e5	84	6a	db
1462795664315268	1201	0d	87	09	e8	cb	a1
1462795664316411	1203	a2	91	16	46	13	b8
1462795664327393	1204	9d	d5	e8	14	80	61
1462795664328194	1206	a8	52	d6	df	bb	33
1462795664350411	1208	58	dd	eb	1b	bd	63
1462795664351280	1210	19	5c	2c	4e	c9	28
1462795664351438	1212	e8	b9	4b	a2	80	ee
1462795664355420	1214	85	72	e5	84	6a	db
1462795664356315	1216	0d	87	09	e8	cb	a1
1462795664357288	1218	a2	91	16	46	13	b8
1462795664378421	1220	9d	d5	e8	14	80	61
1462795664379301	1222	a8	52	d6	df	bb	33
1462795664380418	1224	9d	01	2a	00	02	00
1462795664409454	1227	9d	01	2a	00	02	00
1462795664410281	1229	58	dd	eb	1b	bd	63
1462795664410387	1231	19	5c	2c	4e	c9	28
1462795664410495	1233	e8	b9	4b	a2	80	ee
1462795664437425	1236	85	72	e5	84	6a	db
1462795664438276	1238	0d	87	09	e8	cb	a1
1462795664439283	1240	a2	91	16	46	13	b8
1462795664440303	1242	9d	d5	e8	14	80	61
1462795664440373	1244	a8	52	d6	df	bb	33
1462795664445306	1246	9d	01	2a	00	02	00
1462795664465406	1248	58	dd	eb	1b	bd	63
1462795664466405	1250	19	5c	2c	4e	c9	28
1462795664467439	1252	e8	b9	4b	a2	80	ee
1462795664469436	1253	0d	87	09	e8	cb	a1
1462795664473429	1255	a2	91	16	46	13	b8
1462795664493432	1257	9d	d5	e8	14	80	61
1462795664494322	1259	a8	52	d6	df	bb	33
1462795664501438	1261	9d	01	2a	00	02	00
1462795664502336	1263	58	dd	eb	1b	bd	63
1462795664502415	1265	19	5c	2c	4e	c9	28
1462795664521440	1267	85	72	e5	84	6a	db
1462795664529442	1269	e8	b9	4b	a2	80	ee
1462795664530419	1271	85	72	e5	84	6a	db
1462795664531442	1273	0d	87	09	e8	cb	a1
1462795664549443	1275	a2	91	16	46	13	b8
1462795664557450	1277	9d	d5	e8	14	80	61
1462795664558349	1279	a8	52	d6	df	bb	33
1462795664559349	1281	e8	c0	9d	18	13	a2
1462795664560339	1283	80	33	e9	bf	5f	b1
1462795664577421	1285	d0	d4	46	a1	35	a5
1462795664585428	1287	0a	7c	83	76	40	02
1462795664586455	1289	15	05	8e	eb	d6	82
1462795664587431	1291	7c	a5	2b	74	4c	44
1462795664588410	1293	a3	fe	2d	71	32	53
1462795664605445	1294	81	52	0a	c3	66	ab
1462795664613469	1296	e0	67	d0	27	d5	1a
1462795664614428	1297	11	64	a1	1c	c7	c2
1462795664615468	1299	eb	36	f6	a3	f3	0a
1462795664633412	1300	83	ab	17	55	68	12
1462795664634370	1302	ea	6a	26	b3	a6	48
1462795664634499	1303	a8	16	39	6c	1d	f3
1462795664642496	1305	f0	20	8c	fb	0b	32
1462795664661484	1307	47	06	fc	1d	3e	30
1462795664662026	1309	54	c6	61	ac	b7	5b
1462795664663359	1311	9d	01	2a	00	02	00
1462795664663480	1313	46	04	e8	c0	9d	18
1462795664670483	1315	52	01	34	77	56	33
1462795664689367	1317	d5	30	7e	8d	89	00
1462795664690363	1319	7e	ec	32	13	01	c6
1462795664692362	1321	cd	a7	67	27	26	28
1462795664698353	1323	14	2c	6a	e8	ca	8f
1462795664718469	1325	01	89	56	ac	0a	8f
1462795664719369	1327	db	52	97	09	9e	90
1462795664720469	1329	32	8e	69	8e	5e	cd
1462795664721369	1331	8c	09	d1	81	3a	30
1462795664726445	1333	98	6c	61	55	a2	48
1462795664746481	1335	b5	91	9c	80	3c	b4
1462795664747431	1337	11	b0	d7	a6	9d	3a
1462795664748373	1339	44	cf	75	d7	05	74
1462795664749375	1341	f8	ed	4a	01	fb	1a
1462795664750374	1343	8a	31	54	d5	78	af
1462795664754453	1345	3b	a9	34	18	7b	37
1462795664774457	1346	22	32	d7	c2	8c	cb
1462795664775474	1348	15	97	69	8c	ac	80
1462795664776474	1349	ca	cd	ec	45	4c	ad
1462795664777479	1351	5c	a1	4f	20	56	9d
1462795664778485	1352	53	91	60	38	a1	10
1462795664802482	1354	3f	c1	e0	56	e9	c6
1462795664803387	1355	3a	3b	79	56	95	90
1462795664804486	1357	f5	36	5b	f9	ff	97
1462795664805386	1358	6f	4e	42	7d	25	e0
1462795664806107	1360	4a	2d	e7	40	36	1c
1462795664823461	1362	9d	01	2a	00	02	00
1462795664831488	1363	46	04	e8	c0	9d	18
1462795664832411	1365	52	01	34	77	56	33
1462795664833517	1366	d5	30	7e	8d	89	00
1462795664834409	1368	cd	a7	67	27	26	28
1462795664835411	1369	14	2c	6a	e8	ca	8f
1462795664859465	1371	01	89	56	ac	0a	8f
1462795664860391	1372	db	52	97	09	9e	90
1462795664861351	1374	32	8e	69	8e	5e	cd
1462795664875499	1376	9d	01	2a	00	02	00
1462795664876394	1377	46	04	e8	c0	9d	18
1462795664876467	1379	52	01	34	77	56	33
1462795664888492	1380	d5	30	7e	8d	89	00
1462795664889403	1382	cd	a7	67	27	26	28
1462795664890370	1383	14	2c	6a	e8	ca	8f
1462795664904453	1386	01	89	56	ac	0a	8f
1462795664905413	1387	db	52	97	09	9e	90
1462795664916416	1389	32	8e	69	8e	5e	cd
1462795664924527	1391	9d	01	2a	00	02	00
1462795664925427	1392	46	04	e8	c0	9d	18
1462795664926400	1394	52	01	34	77	56	33
1462795664933496	1396	d5	30	7e	8d	89	00
1462795664934415	1398	cd	a7	67	27	26	28
1462795664934581	1399	14	2c	6a	e8	ca	8f
1462795664944448	1401	01	89	56	ac	0a	8f
1462795664953512	1402	db	52	97	09	9e	90
1462795664954263	1404	32	8e	69	8e	5e	cd
1462795664972469	1406	9d	01	2a	00	02	00
1462795664973383	1407	46	04	e8	c0	9d	18
1462795664974383	1409	52	01	34	77	56	33
1462795664974487	1410	d5	30	7e	8d	89	00
1462795664981541	1412	cd	a7	67	27	26	28
1462795664982433	1413	14	2c	6a	e8	ca	8f
1462795664983367	1415	01	89	56	ac	0a	8f
1462795665001538	1416	db	52	97	09	9e	90
1462795665002293	1418	32	8e	69	8e	5e	cd
1462795665022532	1420	9d	01	2a	00	02	00
1462795665023528	1421	1b	6a	29	54	c6	da
1462795665024432	1423	79	2b	4e	8d	df	26
1462795665024529	1424	a7	8b	a7	46	59	15
1462795665029513	1426	47	88	61	dc	6a	73
1462795665030402	1427	39	dc	95	f1	33	37
1462795665030496	1429	12	f2	52	64	9c	00
1462795665031432	1430	53	ec	a2	ed	c6	81
1462795665051296	1432	7b	50	eb	ce	76	ad
1462795665077543	1434	9d	01	2a	00	02	00
1462795665078431	1435	21	70	cb	c7	c8	5c
1462795665078504	1437	be	e6	1e	90	ab	9d
1462795665078688	1438	ca	91	5c	82	56	0e
1462795665078750	1439	7f	45	40	8b	f7	58
1462795665079415	1441	00	bb	33	81	ab	60
1462795665079526	1442	ad	84	31	80	fe	36
1462795665080355	1444	36	8a	e4	b7	6f	e5
1462795665106346	1445	41	bf	ca	96	3a	f4
1462795665132533	1447	9d	01	2a	00	02	00
1462795665133445	1448	21	70	cb	c7	c8	5c
1462795665134440	1450	be	e6	1e	90	ab	9d
1462795665134511	1451	ca	91	5c	82	56	0e
1462795665134703	1453	7f	45	40	8b	f7	58
1462795665134770	1454	00	bb	33	81	ab	60
1462795665135436	1456	ad	84	31	80	fe	36
1462795665135512	1457	36	8a	e4	b7	6f	e5
1462795665161354	1459	41	bf	ca	96	3a	f4
1462795665186463	1461	9d	01	2a	00	02	00
1462795665187462	1462	21	70	cb	c7	c8	5c
1462795665187556	1464	be	e6	1e	90	ab	9d
1462795665187712	1465	ca	91	5c	82	56	0e
1462795665187767	1467	7f	45	40	8b	f7	58
1462795665187889	1468	00	bb	33	81	ab	60
1462795665188012	1470	ad	84	31	80	fe	36
1462795665189560	1471	36	8a	e4	b7	6f	e5
1462795665215359	1473	41	bf	ca	96	3a	f4
1462795665242556	1475	9d	01	2a	00	02	00
1462795665243406	1476	21	70	cb	c7	c8	5c
1462795665243549	1478	be	e6	1e	90	ab	9d
1462795665243702	1479	ca	91	5c	82	56	0e
1462795665243818	1480	7f	45	40	8b	f7	58
1462795665244408	1482	00	bb	33	81	ab	60
1462795665244530	1484	ad	84	31	80	fe	36
1462795665244653	1485	36	8a	e4	b7	6f	e5
1462795665244734	1487	41	bf	ca	96	3a	f4
1462795665295560	1489	9d	01	2a	00	02	00
1462795665296461	1490	21	70	cb	c7	c8	5c
1462795665296531	1492	be	e6	1e	90	ab	9d
1462795665296742	1493	ca	91	5c	82	56	0e
1462795665296778	1495	7f	45	40	8b	f7	58
1462795665297031	1496	00	bb	33	81	ab	60
1462795665297048	1498	ad	84	31	80	fe	36
1462795665297438	1499	36	8a	e4	b7	6f	e5
1462795665297457	1501	41	bf	ca	96	3a	f4
1462795665345471	1503	9d	01	2a	00	02	00
1462795665346465	1504	21	70	cb	c7	c8	5c
1462795665346539	1506	be	e6	1e	90	ab	9d
1462795665346727	1507	ca	91	5c	82	56	0e
1462795665347424	1509	7f	45	40	8b	f7	58
1462795665347608	1510	00	bb	33	81	ab	60
1462795665347662	1512	ad	84	31	80	fe	36
1462795665347854	1513	36	8a	e4	b7	6f	e5
1462795665347871	1515	41	bf	ca	96	3a	f4
1462795665394587	1517	9d	01	2a	00	02	00
1462795665395492	1518	21	70	cb	c7	c8	5c
1462795665395586	1520	be	e6	1e	90	ab	9d
1462795665396464	1521	ca	91	5c	82	56	0e
1462795665396556	1523	7f	45	40	8b	f7	58
1462795665396696	1524	00	bb	33	81	ab	60
1462795665396796	1526	ad	84	31	80	fe	36
1462795665396949	1527	36	8a	e4	b7	6f	e5
1462795665396979	1529	41	bf	ca	96	3a	f4
1462795665447598	1533	9d	01	2a	00	02	00
1462795665448520	1534	21	70	cb	c7	c8	5c
1462795665449500	1536	be	e6	1e	90	ab	9d
1462795665449594	1537	ca	91	5c	82	56	0e
1462795665449736	1539	7f	45	40	8b	f7	58
1462795665449865	1540	00	bb	33	81	ab	60
1462795665450036	1542	ad	84	31	80	fe	36
1462795665450051	1543	36	8a	e4	b7	6f	e5
1462795665450156	1545	41	bf	ca	96	3a	f4
1462795665495588	1547	9d	01	2a	00	02	00
1462795665496466	1548	21	70	cb	c7	c8	5c
1462795665497447	1550	be	e6	1e	90	ab	9d
1462795665497625	1551	ca	91	5c	82	56	0e
1462795665497760	1553	7f	45	40	8b	f7	58
1462795665497859	1554	00	bb	33	81	ab	60
1462795665497984	1556	ad	84	31	80	fe	36
1462795665498068	1557	36	8a	e4	b7	6f	e5
1462795665498214	1559	41	bf	ca	96	3a	f4
1462795665548593	1561	9d	01	2a	00	02	00
1462795665549499	1562	82	1f	50	43	ea	08
1462795665549573	1564	7e	55	e2	df	c7	5b
1462795665549785	1565	b5	b0	0a	bd	ba	2a
1462795665549866	1567	d4	1f	de	82	63	38
1462795665550491	1568	ef	b5	3b	ce	cf	fc
1462795665550618	1570	42	77	ee	c2	5d	c9
1462795665550700	1571	35	79	34	c1	07	30
1462795665550828	1573	d8	92	90	d8	92	7a
1462795665595573	1575	9d	01	2a	00	02	00
1462795665596482	1576	82	1f	50	43	ea	08
1462795665597499	1578	7e	55	e2	df	c7	5b
1462795665597685	1579	b5	b0	0a	bd	ba	2a
1462795665597701	1581	d4	1f	de	82	63	38
1462795665597894	1582	ef	b5	3b	ce	cf	fc
1462795665597953	1584	42	77	ee	c2	5d	c9
1462795665598099	1585	35	79	34	c1	07	30
1462795665598157	1587	d8	92	90	d8	92	7a
1462795665645467	1589	9d	01	2a	00	02	00
1462795665646490	1590	82	1f	50	43	ea	08
1462795665646625	1592	7e	55	e2	df	c7	5b
1462795665646731	1593	b5	b0	0a	bd	ba	2a
1462795665646874	1594	d4	1f	de	82	63	38
1462795665646972	1596	ef	b5	3b	ce	cf	fc
1462795665647468	1598	42	77	ee	c2	5d	c9
1462795665647652	1599	35	79	34	c1	07	30
1462795665647667	1601	d8	92	90	d8	92	7a
1462795665693595	1603	9d	01	2a	00	02	00
1462795665694547	1604	82	1f	50	43	ea	08
1462795665694597	1606	7e	55	e2	df	c7	5b
1462795665695545	1607	b5	b0	0a	bd	ba	2a
1462795665695595	1608	d4	1f	de	82	63	38
1462795665695765	1609	ef	b5	3b	ce	cf	fc
1462795665695886	1610	42	77	ee	c2	5d	c9
1462795665695970	1611	35	79	34	c1	07	30
1462795665696102	1612	d8	92	90	d8	92	7a
1462795665740604	1614	9d	01	2a	00	02	00
1462795665741530	1615	82	1f	50	43	ea	08
1462795665742530	1617	7e	55	e2	df	c7	5b
1462795665742601	1618	b5	b0	0a	bd	ba	2a
1462795665742827	1620	d4	1f	de	82	63	38
1462795665742893	1621	ef	b5	3b	ce	cf	fc
1462795665743011	1623	42	77	ee	c2	5d	c9
1462795665743099	1624	35	79	34	c1	07	30
1462795665743175	1626	d8	92	90	d8	92	7a
1462795665786610	1628	9d	01	2a	00	02	00
1462795665787538	1629	82	1f	50	43	ea	08
1462795665788540	1631	7e	55	e2	df	c7	5b
1462795665788618	1632	b5	b0	0a	bd	ba	2a
1462795665788771	1634	d4	1f	de	82	63	38
1462795665788886	1635	ef	b5	3b	ce	cf	fc
1462795665788986	1637	42	77	ee	c2	5d	c9
1462795665789124	1638	35	79	34	c1	07	30
1462795665789228	1640	d8	92	90	d8	92	7a
1462795665837645	1642	9d	01	2a	00	02	00
1462795665838550	1643	82	1f	50	43	ea	08
1462795665839558	1645	7e	55	e2	df	c7	5b
1462795665839681	1646	b5	b0	0a	bd	ba	2a
1462795665839751	1648	d4	1f	de	82	63	38
1462795665839948	1649	ef	b5	3b	ce	cf	fc
1462795665839990	1651	42	77	ee	c2	5d	c9
1462795665840181	1652	35	79	34	c1	07	30
1462795665840195	1654	d8	92	90	d8	92	7a
1462795665893619	1656	9d	01	2a	00	02	00
1462795665894547	1657	82	1f	50	43	ea	08
1462795665894722	1659	7e	55	e2	df	c7	5b
1462795665894748	1660	b5	b0	0a	bd	ba	2a
1462795665894951	1662	d4	1f	de	82	63	38
1462795665895005	1663	ef	b5	3b	ce	cf	fc
1462795665895553	1665	42	77	ee	c2	5d	c9
1462795665895642	1666	35	79	34	c1	07	30
1462795665895713	1668	d8	92	90	d8	92	7a
1462795665943660	1672	9d	01	2a	00	02	00
1462795665944558	1673	82	1f	50	43	ea	08
1462795665944630	1675	7e	55	e2	df	c7	5b
1462795665945505	1676	b5	b0	0a	bd	ba	2a
1462795665945687	1678	d4	1f	de	82	63	38
1462795665945823	1679	ef	b5	3b	ce	cf	fc
1462795665945895	1681	42	77	ee	c2	5d	c9
1462795665946051	1682	35	79	34	c1	07	30
1462795665946086	1684	d8	92	90	d8	92	7a
1462795665990662	1686	9d	01	2a	00	02	00
1462795665991566	1687	82	1f	50	43	ea	08
1462795665992570	1689	7e	55	e2	df	c7	5b
1462795665992750	1690	b5	b0	0a	bd	ba	2a
1462795665992768	1692	d4	1f	de	82	63	38
1462795665992962	1693	ef	b5	3b	ce	cf	fc
1462795665993031	1695	42	77	ee	c2	5d	c9
1462795665993219	1696	35	79	34	c1	07	30
1462795665993236	1698	d8	92	90	d8	92	7a
1462795666039672	1700	9d	01	2a	00	02	00
1462795666040577	1701	24	c9	05	45	b3	00
1462795666040651	1703	f9	57	b7	d7	86	c5
1462795666041572	1704	6c	e7	76	d8	d0	1a
1462795666041710	1706	b3	ed	63	81	92	26
1462795666041782	1708	6d	61	88	9b	41	58
1462795666041953	1710	f2	e9	0e	ab	e1	b8
1462795666041970	1712	29	0c	14	ba	0b	23
1462795666070682	1714	b2	df	a2	7a	e5	fe
1462795666086688	1716	9d	01	2a	00	02	00
1462795666087583	1718	12	4c	90	54	5b	30
1462795666088581	1720	c4	c2	99	a1	e7	fa
1462795666098686	1722	38	5d	6c	b8	61	9d
1462795666114689	1724	d3	7e	c5	ff	f2	95
1462795666115584	1726	29	45	ab	f1	66	b6
1462795666116581	1728	61	d1	a0	2d	c0	73
1462795666117590	1730	ec	86	42	33	7b	f4
1462795666126477	1732	9c	cc	19	a0	9a	7c
1462795666136703	1734	9d	01	2a	00	02	00
1462795666142683	1736	92	64	82	a2	d9	80
1462795666143658	1738	0a	b5	80	9c	2e	1a
1462795666144659	1740	c5	77	cd	67	28	6d
1462795666145659	1741	81	2c	ad	b2	a2	7e
1462795666154695	1743	4b	db	d3	fc	52	86
1462795666164698	1744	60	84	f6	56	3d	20
1462795666170699	1746	ce	93	4c	e2	81	79
1462795666171508	1747	2a	bd	a8	1e	cb	69
1462795666190711	1749	9d	01	2a	00	02	00
1462795666191705	1750	92	64	82	a2	d9	80
1462795666192710	1752	0a	b5	80	9c	2e	1a
1462795666193611	1753	c5	77	cd	67	28	6d
1462795666199651	1755	81	2c	ad	b2	a2	7e
1462795666200551	1756	4b	db	d3	fc	52	86
1462795666219734	1758	60	84	f6	56	3d	20
1462795666220630	1759	ce	93	4c	e2	81	79
1462795666221538	1761	2a	bd	a8	1e	cb	69
1462795666247638	1763	9d	01	2a	00	02	00
1462795666248619	1764	92	64	82	a2	d9	80
1462795666248714	1766	0a	b5	80	9c	2e	1a
1462795666249618	1767	c5	77	cd	67	28	6d
1462795666249712	1769	81	2c	ad	b2	a2	7e
1462795666250597	1770	4b	db	d3	fc	52	86
1462795666276712	1772	60	84	f6	56	3d	20
1462795666277605	1773	ce	93	4c	e2	81	79
1462795666277624	1775	2a	bd	a8	1e	cb	69
1462795666302711	1777	9d	01	2a	00	02	00
1462795666303612	1778	92	64	82	a2	d9	80
1462795666303687	1780	0a	b5	80	9c	2e	1a
1462795666305672	1781	c5	77	cd	67	28	6d
1462795666306541	1783	81	2c	ad	b2	a2	7e
1462795666307571	1784	4b	db	d3	fc	52	86
1462795666331716	1786	60	84	f6	56	3d	20
1462795666332617	1787	ce	93	4c	e2	81	79
1462795666332635	1789	2a	bd	a8	1e	cb	69
1462795666353719	1791	9d	01	2a	00	02	00
1462795666354600	1792	92	64	82	a2	d9	80
1462795666354676	1794	0a	b5	80	9c	2e	1a
1462795666354880	1795	c5	77	cd	67	28	6d
1462795666360717	1797	81	2c	ad	b2	a2	7e
1462795666361615	1798	4b	db	d3	fc	52	86
1462795666362573	1800	60	84	f6	56	3d	20
1462795666382702	1801	ce	93	4c	e2	81	79
1462795666383427	1803	2a	bd	a8	1e	cb	69
1462795666406687	1806	9d	01	2a	00	02	00
1462795666407581	1807	92	64	82	a2	d9	80
1462795666407703	1809	0a	b5	80	9c	2e	1a
1462795666407864	1810	c5	77	cd	67	28	6d
1462795666410701	1812	81	2c	ad	b2	a2	7e
1462795666411637	1813	4b	db	d3	fc	52	86
1462795666412578	1815	60	84	f6	56	3d	20
1462795666435732	1817	ce	93	4c	e2	81	79
1462795666436425	1819	2a	bd	a8	1e	cb	69
1462795666458733	1821	9d	01	2a	00	02	00
1462795666459632	1822	92	64	82	a2	d9	80
1462795666460689	1824	0a	b5	80	9c	2e	1a
1462795666460756	1825	c5	77	cd	67	28	6d
1462795666463741	1827	81	2c	ad	b2	a2	7e
1462795666464639	1828	4b	db	d3	fc	52	86
1462795666465612	1830	60	84	f6	56	3d	20
1462795666465790	1831	ce	93	4c	e2	81	79
1462795666487550	1833	2a	bd	a8	1e	cb	69
1462795666511749	1835	9d	01	2a	00	02	00
1462795666512645	1836	92	64	82	a2	d9	80
1462795666512817	1838	0a	b5	80	9c	2e	1a
1462795666512845	1839	c5	77	cd	67	28	6d
1462795666512975	1841	81	2c	ad	b2	a2	7e
1462795666513153	1842	4b	db	d3	fc	52	86
1462795666513646	1844	60	84	f6	56	3d	20
1462795666515742	1845	ce	93	4c	e2	81	79
1462795666540559	1848	2a	bd	a8	1e	cb	69
1462795666566658	1851	00	9d	01	2a	00	02
1462795666567656	1852	30	75	66	4a	b2	c1
1462795666567730	1854	28	f6	0e	a6	3d	53
1462795666567935	1855	2f	3b	18	1c	cb	09
1462795666568030	1857	6b	57	e0	3f	5b	1e
1462795666568128	1858	e4	68	60	9a	68	d6
1462795666568308	1860	d9	0c	3d	37	3e	89
1462795666568709	1861	56	ac	7e	64	42	da
1462795666595769	1863	2a	5c	e2	1c	03	c5
1462795666596652	1864	77	b6	22	98	89	c3
1462795666597632	1866	aa	0c	c7	58	cd	16
1462795666597774	1867	81	8f	86	bf	d6	b1
1462795666597785	1869	f6	8a	cc	ac	8a	bc
1462795666616796	1871	00	9d	01	2a	00	02
1462795666617666	1872	61	7d	8a	26	51	9b
1462795666617745	1874	70	90	00	23	17	00
1462795666624777	1875	31	45	8f	e3	bd	3f
1462795666625678	1877	ad	ec	1f	80	2b	49
1462795666625773	1878	63	1d	c9	67	39	19
1462795666626676	1880	34	41	aa	ba	50	1c
1462795666627678	1881	fc	a0	6b	18	b8	da
1462795666627775	1883	61	25	27	e0	81	7f
1462795666645789	1884	21	45	72	bf	d2	7d
1462795666646687	1886	cb	bd	36	a8	8c	90
1462795666652540	1887	b0	55	4d	19	e4	4a
1462795666673660	1889	9d	01	2a	00	02	00
1462795666674660	1890	51	9b	61	79	bb	89
1462795666674773	1892	b8	b6	fd	91	38	da
1462795666674889	1893	b5	07	52	91	5c	02
1462795666675025	1895	d0	d0	47	90	6c	01
1462795666675194	1896	ed	63	8b	54	08	6e
1462795666675243	1898	67	fa	b3	e0	74	66
1462795666680735	1899	ff	fd	88	ae	1c	a9
1462795666702777	1901	2e	b2	8d	e1	52	45
1462795666703683	1902	c3	63	7f	b9	d6	72
1462795666703702	1904	7c	9f	cc	7b	af	ff
1462795666723798	1906	9d	01	2a	00	02	00
1462795666724767	1907	f6	39	d0	42	2e	c5
1462795666725667	1909	05	7d	02	d0	5e	37
1462795666725759	1910	f9	1a	49	fd	6b	60
1462795666725953	1912	6f	73	8c	bb	02	93
1462795666726004	1913	b3	4c	13	3f	ee	1c
1462795666731799	1915	81	be	0e	40	13	f8
1462795666732689	1916	56	58	1b	8b	3c	4c
1462795666733760	1918	9e	b4	85	d6	04	03
1462795666752786	1919	49	07	ea	68	50	92
1462795666753364	1921	39	2a	a8	32	8e	4b
1462795666771788	1923	9d	01	2a	00	02	00
1462795666772681	1924	f5	38	94	10	69	46
1462795666772759	1926	99	7a	b5	88	ab	5d
1462795666772960	1927	52	f1	5e	84	d5	41
1462795666773020	1929	58	e8	a0	b6	21	8a
1462795666773147	1930	76	55	08	aa	1f	79
1462795666780790	1932	e1	72	7e	2d	7d	4e
1462795666781646	1933	55	34	ff	9e	70	88
1462795666782675	1935	96	ec	b5	7d	49	5a
1462795666800763	1936	71	f2	21	f0	14	ea
1462795666820792	1938	9d	01	2a	00	02	00
1462795666821664	1940	4f	e0	11	56	9f	97
1462795666821803	1942	4a	d9	73	49	52	99
1462795666822695	1944	47	c7	6e	f5	cb	cb
1462795666822830	1946	3b	6d	05	d1	27	d1
1462795666822893	1948	2d	14	13	50	10	2e
1462795666828790	1950	3c	a0	27	1a	14	95
1462795666829692	1952	53	1a	55	db	1f	ce
1462795666851798	1956	43	3b	e3	ae	41	51
